service,task,quality_1_5,accuracy_1_5,russian_1_5,simplicity_1_5,speed_1_5,free_access_1_5,file_handling_1_5,sources_1_5,not_applicable_or_unchecked,notes,test_date,model_or_mode,plan
ChatGPT,Проверка и улучшение текста,4,4,5,,5,,,,"simplicity,free_access,file_handling,sources","Выявлены все основные контрольные точки, но в улучшенной версии сохранено конкретное утверждение о возможном росте удовлетворённости на 50%, хотя базовый замер не проводился; около 10 секунд",15.09.2026,"gpt 5.6 sol, средний",plus
Claude,Планирование учебной недели,4,4,5,,5,,,,"simplicity,free_access,file_handling,sources","Письменная работа разбита на 5 этапов, учтены 5 часов подработки, отдых и ограничение не более двух крупных задач; в свободные дни сервис исключил дорогу, хотя в промпте она задана как ежедневная; около 15 секунд",15.09.2026,"Claude Sonnet 5, medium effort",не указан
Gemini,Планирование учебной недели,4,3,5,,5,,,,"simplicity,free_access,file_handling,sources","Подробный план с декомпозицией работы, отдыхом и точным распорядком двух дней; в среду одновременно запланированы две крупные учебные задачи и 2,5 часа подработки, что превышает заявленный лимит нагрузки; дорога не отражена в свободные дни; около 10 секунд",15.09.2026,Gemini 3.8 Flash,free
MiniMax,Планирование учебной недели,4,4,5,,5,,,,"simplicity,free_access,file_handling,sources","Сильная структура: бюджет недели, дневной скелет, этапы письменной работы и сценарии на случай срыва; соблюдены сон, 5 часов подработки и лимит крупных задач, но есть несогласованности: суббота обозначена учебной при заявленных 4 учебных днях, а домашка отражена только для дисциплин A–C вместо пяти; около 10 секунд",15.09.2026,MiniMax M3,бесплатный
ChatGPT,Планирование учебной недели,4,4,5,,5,,,,"simplicity,free_access,file_handling,sources","Соблюдены 4 учебных дня, 5 часов подработки, сон и ограничение не более двух крупных задач; письменная работа разбита на этапы и предусмотрен отдых, но дорога не расписана на все 7 дней, а упоминание Google Calendar выходит за рамки промпта; около 10 секунд",15.09.2026,"gpt 5.6 sol, средний",plus
Claude,Изучение английского языка,5,5,5,,5,,,,"simplicity,free_access,file_handling,sources","Точно объяснена разница borrow/lend, приведены по 3 простых корректных примера с переводом и упражнение на 5 предложений без ответов; около 5 секунд",15.09.2026,"Claude Sonnet 5, medium effort",не указан
Gemini,Изучение английского языка,5,5,5,,5,,,,"simplicity,free_access,file_handling,sources","Корректно объяснены направление действия и употребление с from/to, приведены по 3 простых примера с переводом и упражнение на 5 предложений без ответов; около 3–5 секунд",15.09.2026,Gemini 3.8 Flash,free
MiniMax,Изучение английского языка,5,5,4,,4,,,,"simplicity,free_access,file_handling,sources","Корректное объяснение, по 3 примера с переводом и упражнение на 5 предложений без ответов; в ключевой мнемонике есть опечатка «Lаю / отдаю», что снижает качество русскоязычной подачи; около 45 секунд",15.09.2026,MiniMax M3,бесплатный
ChatGPT,Изучение английского языка,5,5,5,,5,,,,"simplicity,free_access,file_handling,sources","Точно объяснены значения и направления borrow/lend, приведены по 3 примера с переводом, даны полезные конструкции и упражнение на 5 предложений без ответов; около 2–4 секунд",15.09.2026,"gpt 5.6 sol, средний",plus
Claude,Создание простого AI-агента или прототипа,5,4,5,,5,,,,"simplicity,free_access,file_handling,sources","Полностью описаны проблема, аудитория, роль, системные инструкции, входы, результат, ограничения и 3 сценария; прототип ориентирован на no-code и не требует персональных данных, но конкретные лимиты сервисов и отсутствие хранения истории не проверялись; около 25 секунд",16.09.2026,"Claude Sonnet 5, medium effort",не указан
Gemini,Создание простого AI-агента или прототипа,5,4,5,,5,,,,"simplicity,free_access,file_handling,sources","Полностью описаны требуемые разделы и 3 разнообразных сценария, включая проверку ввода персональных данных; заявленные лимиты текста и приватность в конкретных no-code-платформах не проверялись, а «не обрабатывать» персональные данные технически сильнее, чем игнорировать их после ввода; около 10 секунд",16.09.2026,Gemini 3.8 Flash,free
MiniMax,Создание простого AI-агента или прототипа,5,4,5,,4,,,,"simplicity,free_access,file_handling,sources","Полностью описаны требуемые разделы и три развёрнутых сценария с примерами ввода/вывода и критериями приёмки; решение ориентировано на no-code и не требует персональных данных, однако заявления о том, что Custom GPT «не хранит историю», создаётся «за 15 минут» и требует Plus, а также возможности других платформ отдельно не проверялись; около 50 секунд",16.09.2026,MiniMax M3,бесплатный
ChatGPT,Создание простого AI-агента или прототипа,5,4,5,,5,,,,"simplicity,free_access,file_handling,sources","Полностью описаны проблема, аудитория, роль, системные инструкции, входы, результат, ограничения и три тестовых сценария; показана минимальная no-code-схема интерфейса, но предлагаемый лимит 5–10 тысяч символов и утверждение «не сохраняй персональные данные» для конкретного конструктора отдельно не проверялись; около 15 секунд",16.09.2026,"gpt 5.6 sol, средний",plus
